zipcode,daily commute time,violent_crime_index,property_crime_index,household income,population,average age,race white percentage,race black percentage,race asian percentage,race hispanic percentage,race other percentage,average score,teacher student ratio,freelunch ratio,ethnic african ratio,ethnic asian ratio,ethnic hispanic ratio,ethnic white student ratio,ethnic two_or_more ratio,ethnic others ratio
90704,0,43.3,50.5,"55,882","3,940",34.9,27.8,0.3,0.5,69.8,1.6,,,,,,,,,
91702,28,37.6,43.2,"54,769","61,739",28.7,18,2.4,8.8,68.8,2,52.66,20.4,75.8,1.71,2.64,91.7,3.18,0.47,0.3
91702,28,37.6,43.2,"54,769","61,739",28.7,18,2.4,8.8,68.8,2,25.35,18.9,84.6,1.25,2.71,93.95,1.25,0.84,0
91702,28,37.6,43.2,"54,769","61,739",28.7,18,2.4,8.8,68.8,2,37.48,24.4,90.6,1.46,1.17,93.27,2.92,0.88,0.3
91706,31,38.4,42.7,"51,234","77,819",31.9,3.5,1.2,16.1,78.1,1.1,,,,,,,,,
90201,31,59,64.4,"37,013","102,878",28.2,3,0.7,0.6,95.4,0.3,,,,,,,,,
90706,30,46.1,51.6,"49,360","77,852",32.3,19.1,13.7,11,54.2,2,62.55,25.4,81.8,9.71,6.2,78.51,4.34,0.83,0.41
90706,30,46.1,51.6,"49,360","77,852",32.3,19.1,13.7,11,54.2,2,17.06,4.6,78.6,7.14,0,92.86,0,0,0
90706,30,46.1,51.6,"49,360","77,852",32.3,19.1,13.7,11,54.2,2,50.85,21.2,74.7,10.88,6.05,76.79,4.01,1.06,1.21
90210,25,18.2,28.9,"138,750","20,016",46.8,82.4,1.2,6.7,6.7,3,93.86,16.4,7.8,3.42,9.64,6.07,77.14,3.27,0.46
90210,25,18.2,28.9,"138,750","20,016",46.8,82.4,1.2,6.7,6.7,3,88.41,16.8,8.4,1.45,11.45,7.42,75.32,3.71,0.65
90211,25,34.5,47.3,"69,942","8,019",40.3,78.3,1.5,11.9,5.9,2.4,18.22,20,18.6,10.41,7.24,11.76,58.37,11.76,0.46
90211,25,34.5,47.3,"69,942","8,019",40.3,78.3,1.5,11.9,5.9,2.4,87.65,15.1,10.3,4.32,15.38,11.26,61.73,6.57,0.74
90212,24,33.5,46.3,"84,516","13,207",42.2,73.2,2.4,10.7,6.4,7.3,92.84,17.5,7.4,2.63,14.24,7.56,73.28,1.89,0.4
90212,24,33.5,46.3,"84,516","13,207",42.2,73.2,2.4,10.7,6.4,7.3,89.02,18.1,8,2.54,10,7.75,73.1,6.48,0.13
90212,24,33.5,46.3,"84,516","13,207",42.2,73.2,2.4,10.7,6.4,7.3,12.45,6.1,27.3,0,9.09,27.27,63.64,0,0
91008,35,21.4,27.2,"98,315","1,191",37.4,56.4,2.1,25.8,13.1,2.6,74.49,24.6,57.6,3.85,17.85,55.38,14.4,7.3,1.22
91501,28,34.8,44.5,"62,500","20,892",38.8,63.6,2.3,11.2,17.6,5.3,84.11,25.4,44.2,1.8,7.47,18.04,66.75,5.67,0.27
91501,28,34.8,44.5,"62,500","20,892",38.8,63.6,2.3,11.2,17.6,5.3,74.26,24.6,32.2,2.52,13.59,16.78,63.59,2.52,1
91502,27,54,64.5,"40,208","11,645",36.4,49.1,2.4,9.2,35.4,3.9,81.09,24.4,34.8,2.59,9.37,28.51,55.46,3.76,0.31
91502,27,54,64.5,"40,208","11,645",36.4,49.1,2.4,9.2,35.4,3.9,20.09,6.2,60,0,0,60,32,8,0
91504,29,26.8,35.6,"71,296","26,558",39.1,53.9,1.4,15.1,26.1,3.5,66.61,22.2,57.2,2.6,11.8,45,37.2,2.6,0.8
91504,29,26.8,35.6,"71,296","26,558",39.1,53.9,1.4,15.1,26.1,3.5,79.83,24.4,35.7,2.5,11.08,21.16,62.33,2.72,0.21
91504,29,26.8,35.6,"71,296","26,558",39.1,53.9,1.4,15.1,26.1,3.5,84.82,28.7,16,1.43,15.12,19.3,57.63,6.52,0
91505,28,31.3,40.5,"77,679","30,997",37.4,57.6,1.8,9.5,26.9,4.2,64.97,24,32.7,2.08,7.37,45.03,35.9,9.29,0.33
91505,28,31.3,40.5,"77,679","30,997",37.4,57.6,1.8,9.5,26.9,4.2,70.31,,22.2,5.56,5.56,27.78,55.56,5.56,0
91505,28,31.3,40.5,"77,679","30,997",37.4,57.6,1.8,9.5,26.9,4.2,61.79,23.2,36.8,2.38,8.74,52.63,32.77,3.18,0.3
91505,28,31.3,40.5,"77,679","30,997",37.4,57.6,1.8,9.5,26.9,4.2,67.16,27.6,51.9,2.58,8.53,57.62,24.03,6.98,0.26
91505,28,31.3,40.5,"77,679","30,997",37.4,57.6,1.8,9.5,26.9,4.2,84.15,24.8,17.4,2.85,11.58,27.35,47.48,10.57,0.17
91505,28,31.3,40.5,"77,679","30,997",37.4,57.6,1.8,9.5,26.9,4.2,86.64,27.2,13.8,1.38,7.96,27.57,53.29,8.88,0.92
91506,28,32.4,40.9,"70,408","18,245",42.8,55.9,1.3,10.8,26.8,5.2,80.9,24,28.1,2.96,9.62,45.5,38,3.81,0.11
91506,28,32.4,40.9,"70,408","18,245",42.8,55.9,1.3,10.8,26.8,5.2,65.68,23.2,34,3.85,8.26,42.82,40.38,4.41,0.28
91506,28,32.4,40.9,"70,408","18,245",42.8,55.9,1.3,10.8,26.8,5.2,4.91,7.5,50,0,0,38.89,55.56,0,5.55
91506,28,32.4,40.9,"70,408","18,245",42.8,55.9,1.3,10.8,26.8,5.2,17.75,15.2,32.2,2.68,4.03,57.05,34.23,2.01,0
91506,28,32.4,40.9,"70,408","18,245",42.8,55.9,1.3,10.8,26.8,5.2,79.64,26.1,18.9,1.28,10.02,33.15,44.08,11.48,0
91506,28,32.4,40.9,"70,408","18,245",42.8,55.9,1.3,10.8,26.8,5.2,69.93,26.4,42.6,4.03,6.55,58.94,24.18,6.3,0
91506,28,32.4,40.9,"70,408","18,245",42.8,55.9,1.3,10.8,26.8,5.2,59.35,27.4,45.7,4.08,3.65,56.65,29.83,5.58,0.21
90747,0,20.6,35.8,0,0,0,0,0,0,0,0,98.68,27.8,42.5,12.45,32.94,40.56,7.76,4.98,1.31
91302,34,17.6,23.2,"121,715","26,500",43.6,77.6,2,8.9,6.2,5.3,87.28,22.8,8.2,2.35,7.93,5.82,81.41,1.73,0.76
91302,34,17.6,23.2,"121,715","26,500",43.6,77.6,2,8.9,6.2,5.3,91.17,23.1,10.1,3.73,8.48,8.94,73.3,4.75,0.8
91302,34,17.6,23.2,"121,715","26,500",43.6,77.6,2,8.9,6.2,5.3,83.47,24.3,5,2.73,6.75,6.43,79.26,3.54,1.29
91302,34,17.6,23.2,"121,715","26,500",43.6,77.6,2,8.9,6.2,5.3,85.86,26.1,7.7,4.3,5.75,9.1,77.69,2.1,1.06
91302,34,17.6,23.2,"121,715","26,500",43.6,77.6,2,8.9,6.2,5.3,89.57,23.2,7.8,0.79,7.95,9.38,73.29,8.27,0.32
91302,34,17.6,23.2,"121,715","26,500",43.6,77.6,2,8.9,6.2,5.3,14.58,23.2,93.5,34.78,4.35,60.87,0,0,0
91302,34,17.6,23.2,"121,715","26,500",43.6,77.6,2,8.9,6.2,5.3,86.77,23.1,14.7,3.11,11.74,13.47,63.39,8.12,0.17
91302,34,17.6,23.2,"121,715","26,500",43.6,77.6,2,8.9,6.2,5.3,88.33,22.5,4.2,2.94,6.69,8.16,75.37,6.69,0.15
90745,26,32.7,38.6,"71,757","57,219",36.4,8.1,7.1,35.7,43.2,5.9,54.23,20.2,75.8,15.74,21.47,54.03,2.5,1.25,5.01
90745,26,32.7,38.6,"71,757","57,219",36.4,8.1,7.1,35.7,43.2,5.9,84.77,20.8,68.5,7.23,41.37,43.37,2.01,1.41,4.61
90745,26,32.7,38.6,"71,757","57,219",36.4,8.1,7.1,35.7,43.2,5.9,21.31,22.5,79.5,22.8,16.3,50.44,3.19,2.09,5.18
90745,26,32.7,38.6,"71,757","57,219",36.4,8.1,7.1,35.7,43.2,5.9,39.93,21.6,73.8,12.55,23.06,46.68,5.9,3.14,8.67
90745,26,32.7,38.6,"71,757","57,219",36.4,8.1,7.1,35.7,43.2,5.9,49.55,24,71.2,9.81,27.29,48.83,3.62,4.48,5.97
90745,26,32.7,38.6,"71,757","57,219",36.4,8.1,7.1,35.7,43.2,5.9,44.1,22,73.7,19.53,18.69,53.72,2.5,1.11,4.45
90745,26,32.7,38.6,"71,757","57,219",36.4,8.1,7.1,35.7,43.2,5.9,60.52,24.3,75.7,8.23,21.81,51.3,10.01,1.92,6.73
